City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Buala,SB,79.65,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
2,Bambanglipuro,ID,76.42,overcast clouds,-7.95,110.2833,Puri Brata
3,Tecoanapa,MX,86.81,scattered clouds,16.5167,-98.75,Hotel Manglares
7,Basco,PH,83.48,light rain,20.4487,121.9702,Nathaniel's Lodge
10,San-Pedro,CI,79.48,broken clouds,4.7485,-6.6363,Hotel Maria
21,Bella Union,UY,76.21,overcast clouds,-30.2752,-57.6007,Saville Free Shop
24,Butaritari,KI,82.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
29,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
36,Hirara,JP,81.34,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
38,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
39,Victoria,HK,86.32,few clouds,22.2855,114.1577,Mini Hotel Central
45,Batticaloa,LK,80.55,broken clouds,7.7102,81.6924,Grand Star Guest House
53,Nicoya,CR,89.15,scattered clouds,10.1483,-85.45200000000001,Las Cabinas Del Sueño
54,Faanui,PF,79.29,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
55,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
56,Marsa Matruh,EG,75.4,scattered clouds,31.3525,27.2453,Beau Site
58,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
61,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
64,Sao Jose Da Coroa Grande,BR,80.62,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
67,Saint George,US,77.34,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
68,Dingle,PH,76.84,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
73,Ponta Do Sol,PT,78.71,clear sky,32.6667,-17.1,Hotel do Campo
74,Mamallapuram,IN,84.25,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
76,Hithadhoo,MV,82.96,scattered clouds,-0.6,73.0833,Scoop Guest House
77,Gizo,SB,82.15,overcast clouds,-8.103,156.8419,Imagination Island
81,Pahrump,US,77.59,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
87,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
88,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
89,Dakar,SN,87.93,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
94,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
97,Cap Estate,LC,87.46,broken clouds,14.0833,-60.95,Coco Palm Resort
101,Makakilo City,US,75.52,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
102,Ternate,ID,80.22,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
104,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
105,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
108,Nago,JP,78.96,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
111,Tabas,IR,78.28,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
115,Eyl,SO,78.82,few clouds,7.9803,49.8164,Amiin Hotel
116,Toluviejo,CO,85.33,broken clouds,9.4508,-75.4386,Mileydys
121,Venice,US,89.98,few clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
128,Mtwara,TZ,75.72,clear sky,-10.2667,40.1833,TIL Hotels Mtwara
130,Andros Town,BS,82.36,broken clouds,24.7,-77.7667,Hanks place
135,San Policarpo,PH,80.46,overcast clouds,12.1791,125.5072,Manong Aklan Resort
142,Pitimbu,BR,84.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
143,Oranjestad,AW,89.55,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
145,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
147,Gat,IL,77.68,few clouds,31.61,34.7642,OlusHome
155,Vung Tau,VN,79.2,broken clouds,10.345999999999998,107.0843,Green hotel
157,Lompoc,US,86.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
159,Leiyang,CN,82.69,few clouds,26.4024,112.8591,Dongyang Hotel
160,Vila Franca Do Campo,PT,79.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
163,Ibra,OM,77.81,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
169,Porto Novo,BJ,85.82,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
172,Sibiti,CG,76.06,light rain,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
178,Keti Bandar,PK,83.25,overcast clouds,24.1447,67.4497,Haji laloo memon house
180,Srivardhan,IN,80.31,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
182,Xuddur,SO,82.18,broken clouds,4.1213,43.8894,Banjanay Hotel
189,Vila Velha,BR,87.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
190,Kavaratti,IN,82.08,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
191,Pochutla,MX,89.42,few clouds,15.7432,-96.4661,Hotel Posada San Jose
194,Bodden Town,KY,89.01,scattered clouds,19.2833,-81.25,Will T Place
195,Catuday,PH,79.27,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
198,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
199,Libreville,GA,80.62,scattered clouds,0.3925,9.4537,Hotel Re-Ndama
202,Leticia,CO,89.65,broken clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
207,Sao Joao Da Barra,BR,87.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
210,Dondo,MZ,76.51,clear sky,-19.6094,34.7431,Arco Iris
211,Honiara,SB,77.76,overcast clouds,-9.4333,159.95,Heritage Park Hotel
212,Buchanan,LR,82.36,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
214,Ambovombe,MG,75.69,scattered clouds,-25.1667,46.0833,RELAHARA
216,Carmen,MX,86.04,few clouds,18.6333,-91.8333,Hotel Lossandes
217,Praia Da Vitoria,PT,79.05,scattered clouds,38.7333,-27.0667,Hotel Branco I
218,Yenagoa,NG,79.02,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
219,Kamphaeng Phet,TH,75.06,light rain,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
222,Elizabeth City,US,78.85,few clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
227,Mathathane,BW,79.74,light rain,-22.2687,28.7495,Selepswe Resort
232,Cockburn Town,TC,82.36,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
234,Kavieng,PG,81.12,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
236,Waddan,LY,82.65,few clouds,29.1614,16.139,محل الشريف محمد العايب
240,Kenosha,US,76.68,scattered clouds,42.5667,-88.0501,Bristol Motel
242,Bima,ID,75.54,broken clouds,-8.4667,118.7167,Lambitu Hotel
245,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
246,Sechura,PE,75.38,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
248,Sinnamary,GF,85.44,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
251,Ixtapa,MX,83.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
252,Cabo San Lucas,MX,81.14,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
256,Cayenne,GF,89.64,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
257,Cabedelo,BR,84.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
258,Delaware,US,76.93,clear sky,39.0004,-75.4999,Killens Pond State Park
261,Qena,EG,87.91,clear sky,26.1615,32.7183,"Grand hotel ""Quena"""
262,Itarema,BR,86.95,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
270,Sao Filipe,CV,80.13,scattered clouds,14.8961,-24.4956,Hotel Xaguate
272,Yendi,GH,86.65,scattered clouds,9.4427,-0.0099,Eyarro Lodge
275,Manavgat,TR,77.41,few clouds,36.7867,31.4431,River Boutique Hotel
278,Callaway,US,87.91,clear sky,30.153000000000002,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
279,Kalabo,ZM,78.15,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
282,Caravelas,BR,84.09,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
284,Rio Claro,BR,78.78,moderate rain,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
285,Matamoros,MX,78.91,broken clouds,25.5333,-103.25,Quinta Belem
286,Kilindoni,TZ,77.13,broken clouds,-7.9139,39.6668,Bustani B&B
287,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
289,Mogadishu,SO,78.37,broken clouds,2.0371,45.3438,Hotel Juba
295,Alegrete,BR,76.12,overcast clouds,-29.7831,-55.7919,Hotel Alegrete
297,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
299,Ipixuna,BR,87.75,broken clouds,-1.7625,-48.8043,Casa da Oscarina
302,Port Blair,IN,80.91,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
304,San Quintin,MX,79.63,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
307,Santa Marta,CO,85.51,broken clouds,11.2408,-74.199,Casa de Isabella
308,Agogo,GH,76.51,light rain,6.8,-1.0819,Tele Centre Hotel
315,Thohoyandou,ZA,82.18,broken clouds,-22.9456,30.485,Masili Guesthouse & Conference
321,Jalu,LY,79.32,clear sky,29.0331,21.5482,صاحبة الفخامة
329,Sawakin,SD,85.91,scattered clouds,19.1059,37.3321,فندق الدويم
332,Khipro,PK,88.5,scattered clouds,25.8285,69.3772,Mukesh Bhojraj Khatri Graphix Khipro
335,Laguna,US,82.24,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
336,Havelock,US,80.06,broken clouds,34.8791,-76.9013,Sherwood Motel
345,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
349,Porto Velho,BR,89.65,clear sky,-8.7619,-63.9039,Hotel Central
353,Bosaso,SO,87.71,few clouds,11.2842,49.1816,Red Sea Hotel
355,Sisophon,KH,76.98,light rain,13.5859,102.9737,Pyramid Hotel
358,Seminole,US,89.98,scattered clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
359,Hwange,ZW,86.86,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
363,Labuhan,ID,78.33,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
369,Alpena,US,78.12,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
371,Ende,ID,77.97,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
377,Guane,CU,88.29,few clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
380,Ondarroa,ES,79.09,overcast clouds,43.3167,-2.4167,Hotel Arbe
382,Coahuayana,MX,87.28,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
383,Fare,PF,79.03,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
384,Kieta,PG,78.03,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
385,San Blas,MX,85.89,overcast clouds,21.5167,-105.2667,Hotel Posada del Rey
386,Ahuimanu,US,76.71,light rain,21.4447,-157.8378,Paradise Bay Resort
388,Cilegon,ID,78.69,few clouds,-6.0174,106.0538,Amaris Hotel Cilegon
390,Goderich,CA,75.04,overcast clouds,43.7501,-81.7165,Harmony Inn
391,Wajir,KE,87.94,few clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
393,Bani,DO,89.04,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
399,Prado,BR,82.96,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
404,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
410,Mkuranga,TZ,77.99,overcast clouds,-7.117999999999999,39.2078,Luminoso Lodge
414,Lorengau,PG,79.65,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
415,Bandarbeyla,SO,79.92,scattered clouds,9.4942,50.8122,JABIR HOTEL
416,San Jose,US,79.92,clear sky,37.3394,-121.895,The Westin San Jose
420,Lata,PT,75.49,overcast clouds,40.1629,-8.3327,Casa Maquia
427,Camara De Lobos,PT,78.71,few clouds,32.6333,-16.9667,Golden Residence Hotel
430,Guarapari,BR,87.69,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
431,Praya,CV,86.54,few clouds,14.9215,-23.5087,LT Aparthotel
434,Naze,JP,77.14,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
436,Dwarka,IN,81.95,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
440,Morondava,MG,76.84,few clouds,-20.2833,44.2833,La Case Bambou
441,Russell,US,82.8,few clouds,32.3502,-85.1999,Macs
444,Suruc,TR,82.6,clear sky,36.9761,38.425,PEHLİVANKESMESİ KÖYÜ
460,Mitsamiouli,KM,79.09,few clouds,-11.3847,43.2844,Foyer ADM
462,Ilheus,BR,84.02,few clouds,-14.7889,-39.0494,Barravento Hotel
465,Saint-Gaudens,FR,76.73,overcast clouds,43.0833,0.6667,L'Ardiégeoise
467,Sarankhola,BD,78.75,clear sky,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
468,Bengkulu,ID,76.84,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
474,Mocoa,CO,86.13,broken clouds,1.1493,-76.6466,selvamorena
481,Matara,LK,77.61,few clouds,5.9485,80.5353,Amaloh Boutique Resort
486,Mersing,MY,76.91,overcast clouds,2.4312,103.8405,Timotel Hotel
489,Nueva Guinea,NI,80.24,broken clouds,11.6876,-84.4562,Posadita La Reyna
490,Nisia Floresta,BR,88.18,few clouds,-6.0911,-35.2086,Rancho Crepusculo
493,Maningrida,AU,77.43,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
495,Mana,GF,83.93,broken clouds,5.6592,-53.7767,LE SAMANA
500,Talavera De La Reina,ES,79.61,broken clouds,39.9635,-4.8308,Be Live City Center Talavera
501,Lao Cai,VN,75.79,overcast clouds,22.4833,103.95,Legend Hotel
502,Namatanai,PG,78.8,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
509,Finschhafen,PG,78.87,overcast clouds,-6.6024,147.8681,Cossam Guest House
515,Guilin,CN,77.11,light rain,25.2819,110.2864,Grand 0773 Hotel
517,Najran,SA,88.45,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
520,Upata,VE,85.19,scattered clouds,8.0086,-62.3989,Posada Villa Nela
524,Digha,IN,81.75,broken clouds,21.6833,87.55,Khoniker Atithi
527,Nabire,ID,75.88,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
530,Camargo,MX,77.23,few clouds,27.6667,-105.1667,Hotel Santa Fe
533,Hambantota,LK,79.92,few clouds,6.1241,81.1185,Bungalow 63
537,Kudahuvadhoo,MV,82.89,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
540,Madhipura,IN,77.41,overcast clouds,25.9167,86.7833,SPOT ON 64083 Hotel Ganga
542,Nalgonda,IN,77.25,scattered clouds,17.05,79.2667,Sai Krishna Residency
543,Mmathubudukwane,BW,81.46,clear sky,-24.6,26.4333,Gill Sleepover Guesthouse
544,Jand,PK,85.55,clear sky,33.4299,72.0193,Mohalla Takia
549,Nishihara,JP,78.08,scattered clouds,26.1842,127.7558,Minshuku Agaihama
550,Inongo,CD,75.33,broken clouds,-1.95,18.2667,Hotel Du Lac
553,Sur,OM,81.93,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
555,Srandakan,ID,76.75,overcast clouds,-7.9386,110.2506,Puri Brata
558,Neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
559,Santa Ines,BR,82.53,overcast clouds,-3.6667,-45.38,Palace hotel
560,Clinton,US,77.32,broken clouds,42.586999999999996,-82.9199,Hampton Inn Detroit/Roseville
564,Azuaga,ES,79.97,clear sky,38.2667,-5.6833,Casa Rural La Hoya
565,Kirakira,SB,77.99,overcast clouds,-10.4544,161.9205,SanBiz Lodge
567,San Patricio,US,83.16,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
569,Touros,BR,86.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
573,Baracoa,CU,86.27,broken clouds,20.3467,-74.4958,Hostal Rio Miel
582,Guangzhou,CN,84.15,clear sky,23.1167,113.25,Guangzhou Hotel
585,Belmonte,BR,84.7,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
586,Bonthe,SL,80.98,moderate rain,7.5264,-12.505,Bonthe Holiday Village
587,Kalianget,ID,80.67,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
588,Khuzdar,PK,79.03,scattered clouds,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
592,Punta Cardon,VE,88.11,overcast clouds,11.6581,-70.215,Bambuda hotel
599,Naraini,IN,83.62,overcast clouds,25.1833,80.4833,Chhedilal Tea Stall
600,Altamira,BR,87.89,broken clouds,-3.2033,-52.2064,Requinte Hotel
601,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
602,Puri,IN,82.92,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
609,Bac Lieu,VN,80.24,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
610,Odweyne,SO,76.82,light rain,9.4092,45.06399999999999,Eng Hiirey House
612,Ankpa,NG,78.96,light rain,7.3706,7.6253,AA Suites
616,Ingham,US,75.38,scattered clouds,42.6,-84.3833,Sunset Mobile Home Park
626,Kpandae,GH,85.26,scattered clouds,8.4689,-0.0113,S. Amaski Guest House
631,Carutapera,BR,88.07,few clouds,-1.195,-46.02,Lidera
635,San Pedro,PH,81.63,light intensity shower rain,14.35,121.0167,Villa Veronica Resort Private Pool
636,Teguise,ES,79.02,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
638,Chico,US,76.68,few clouds,39.7285,-121.8375,Quality Inn Near Chico State
642,Vicuna,CL,76.77,scattered clouds,-30.0319,-70.7081,Los Mosaicos
643,Ponta Delgada,PT,79.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
649,Ukiah,US,83.97,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
655,Myanaung,MM,75.13,overcast clouds,18.2833,95.3167,Taung Hlay Khar
659,Kibala,TD,82.35,scattered clouds,9.1104,18.3463,hotel safari
661,Ikom,NG,78.06,moderate rain,5.9667,8.7063,Reho Farm & Resort
663,Quatis,BR,89.49,overcast clouds,-22.4072,-44.2581,Hotel Colonial
666,Lodwar,KE,82.76,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
668,Luangwa,ZM,86.74,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
669,Eseka,CM,75.9,broken clouds,3.65,10.7667,Complexe Hotelier Ndjiki Mpeck Eseka II
670,Natal,BR,88.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
673,Kulhudhuffushi,MV,82.2,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
